City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
4030556,Rikitea,PF,-23.1203,-134.9692,78.96,72,27,7.61
1015776,Bredasdorp,ZA,-34.5322,20.0403,53.6,87,66,3.44
6201424,Mataura,NZ,-46.1927,168.8643,50.67,91,100,11.3
3899695,Ancud,CL,-41.8697,-73.8203,59.0,80,0,1.32
3421765,Nanortalik,GL,60.1432,-45.2371,25.61,87,4,17.49
3419842,Sisimiut,GL,66.9395,-53.6735,17.02,80,0,4.97
3831208,Qaanaaq,GL,77.484,-69.3632,13.42,80,0,9.42
3393692,Itarema,BR,-2.9248,-39.9167,76.86,90,96,6.82
5955084,Foam Lake,CA,51.65,-103.5343,-20.2,76,100,8.05
1735106,George Town,MY,5.4112,100.3354,87.4,70,20,8.05
610445,Balyqshy,KZ,47.0667,51.8667,24.8,86,75,17.9
2377457,Nouadhibou,MR,20.931,-17.0347,59.0,82,0,14.97
6453316,Tromsø,NO,69.6496,18.957,20.79,79,75,2.3
2181625,Te Anau,NZ,-45.4167,167.7167,52.72,79,100,9.42
5367788,Lompoc,US,34.6391,-120.4579,46.67,87,40,4.43
2180815,Tuatapere,NZ,-46.1333,167.6833,51.93,91,100,19.15
2155415,New Norfolk,AU,-42.7826,147.0587,71.51,37,0,3.0
921786,Mitsamiouli,KM,-11.3847,43.2844,82.83,77,99,17.43
3366880,Hermanus,ZA,-34.4187,19.2345,64.99,89,79,4.0
3874787,Punta Arenas,CL,-53.15,-70.9167,59.0,72,20,4.61
2126123,Chokurdakh,RU,70.6333,147.9167,-13.49,87,0,3.0
1698728,Naghalin,PH,11.1456,124.5671,83.25,78,96,3.94
4032243,Vaini,TO,-21.2,-175.2,78.8,100,75,17.27
1806840,Huilong,CN,31.8111,121.655,55.09,56,100,5.99
2514651,Los Llanos de Aridane,ES,28.6585,-17.9182,56.1,72,40,6.91
304183,Muğla Province,TR,37.2303,28.3557,51.64,100,40,1.14
2738381,Lata,PT,40.1629,-8.3327,53.31,91,86,1.01
1262419,Murlīganj,IN,25.9,86.9833,73.18,42,59,3.0
1862505,Hirara,JP,24.8,125.2833,72.34,64,40,16.11
6165406,Thompson,CA,55.7435,-97.8558,-34.6,74,20,6.91
336454,Ginir,ET,7.1333,40.7,59.56,67,44,4.27
5546220,Saint George,US,37.1041,-113.5841,53.98,30,40,1.07
5855927,Hilo,US,19.7297,-155.09,66.7,64,75,11.5
260895,Karpathos,GR,35.507,27.2132,60.8,82,0,9.22
1651810,Airai,TL,-8.9266,125.4092,72.45,84,98,3.96
2171099,Codrington,AU,-38.2667,141.9667,77.13,49,0,13.29
3430863,Mar del Plata,AR,-38.0023,-57.5575,65.62,82,75,11.5
2033413,Yichun,CN,47.7,128.9,18.28,90,97,3.74
3713959,Bocas del Toro,PA,9.3333,-82.25,77.14,81,79,3.69
6185377,Yellowknife,CA,62.456,-114.3525,-10.32,77,90,11.5
2288105,Grand-Lahou,CI,5.1367,-5.0242,78.35,91,12,6.55
777682,Skjervøy,NO,70.0311,20.9714,26.82,87,100,18.43
1280037,Shache,CN,38.4167,77.2406,58.15,29,0,5.88
2729907,Longyearbyen,SJ,78.2186,15.6401,15.8,86,75,4.61
5919850,Chapais,CA,49.7834,-74.8492,-2.2,84,75,2.3
2172797,Cairns,AU,-16.9167,145.7667,87.8,70,54,11.5
3833367,Ushuaia,AR,-54.8,-68.3,64.4,68,0,11.5
2654970,Brae,GB,60.3964,-1.353,33.53,91,93,7.63
2667402,Trelleborg,SE,55.3751,13.1569,22.05,79,75,17.27
6167817,Torbay,CA,47.6666,-52.7314,27.3,93,90,32.21
3985710,Cabo San Lucas,MX,22.8909,-109.9124,64.81,63,1,6.91
4034496,Fare,PF,-16.7,-151.0167,82.54,71,0,13.73
2160517,Launceston,AU,-41.45,147.1667,68.0,34,0,5.75
57000,Hobyo,SO,5.3505,48.5268,77.92,72,24,19.64
2208248,Kaitangata,NZ,-46.2817,169.8464,60.01,74,100,10.0
1819729,Hong Kong,HK,22.2855,114.1577,59.95,89,100,1.01
2449893,Tessalit,ML,20.1986,1.0114,63.27,23,59,9.33
1007311,Durban,ZA,-29.8579,31.0292,74.34,88,75,1.14
1279945,Jiuquan,CN,39.7432,98.5174,43.77,49,74,5.39
5848280,Kapaa,US,22.0752,-159.319,68.22,56,75,16.11
2075265,Busselton,AU,-33.65,115.3333,68.65,56,2,5.01
1805857,Jieshi,CN,22.8134,115.8257,62.01,91,100,1.99
2163355,Hobart,AU,-42.8794,147.3294,70.57,48,20,12.66
3355672,Lüderitz,NA,-26.6481,15.1594,63.59,83,0,5.39
2090021,Namatanai,PG,-3.6667,152.4333,84.38,73,89,6.11
53372,Oodweyne,SO,9.4092,45.064,66.31,50,11,25.59
1621313,Ambulu,ID,-8.345,113.6058,84.09,74,33,8.55
3389822,Salinópolis,BR,-0.6136,-47.3561,78.37,86,100,6.67
3459712,Joinville,BR,-26.3044,-48.8456,60.85,87,74,1.39
3466980,Caravelas,BR,-17.7125,-39.2481,73.63,86,100,4.83
4004293,Ixtapa,MX,20.7,-105.2,64.2,84,4,1.19
2206939,Bluff,NZ,-46.6,168.3333,56.75,78,100,28.79
2094342,Kavieng,PG,-2.5744,150.7967,84.49,74,81,7.72
1496511,Novy Urengoy,RU,66.0833,76.6333,-20.9,86,87,13.91
1282256,Hithadhoo,MV,-0.6,73.0833,82.42,80,64,14.14
5554428,Ketchikan,US,55.3422,-131.6461,15.8,53,1,10.36
1855540,Naze,JP,28.3667,129.4833,62.6,55,75,5.75
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,72.5,88,0,6.69
1488920,Turochak,RU,52.2576,87.1224,5.29,90,100,3.83
5106841,Albany,US,42.6001,-73.9662,18.72,86,75,9.22
2126199,Cherskiy,RU,68.75,161.3,-6.52,86,0,1.88
